host_since,host_listings_count,host_identity_verified,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,beds,amenities,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,reviews_per_month,instant_bookable,bathroom_type,bathroom,smoke_alarm,oven,patio_balcony,fire_extinguisher,shower_gel,amenities_category
2012-07-15,1.0,False,False,ΓΟΥΔΙ,37.98642,23.76555,Entire home/apt,4,1.0,16,32.96,3,1095,242,66,0.73,False,private,1.5,0,0,0,0,0,low
2012-08-02,3.0,True,True,ΑΚΡΟΠΟΛΗ,37.96825,23.72839,Entire home/apt,4,3.0,30,77.25,2,1125,355,186,2.43,True,private,1.0,0,0,0,0,0,medium
2012-05-21,1.0,True,True,ΓΚΑΖΙ,37.97607,23.7097,Entire home/apt,5,3.0,61,33.99,2,30,233,271,4.18,False,private,1.0,0,0,0,0,0,high
2011-11-17,67.0,True,True,ΚΕΡΑΜΕΙΚΟΣ,37.98013,23.72354,Entire home/apt,8,2.0,50,123.60000000000001,2,1125,330,27,0.31,False,private,2.5,0,0,0,0,0,high
2012-09-04,1.0,True,False,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98731,23.737820000000003,Entire home/apt,2,1.0,25,51.5,5,1125,239,38,0.58,False,private,1.5,0,0,0,0,0,low
2012-09-09,3.0,True,False,ΣΤΑΔΙΟ,37.96635,23.73546,Private room,2,1.0,30,25.75,2,10,268,109,1.38,False,shared,1.0,0,0,0,0,0,medium
2012-09-09,3.0,True,False,ΣΤΑΔΙΟ,37.96615,23.73463,Entire home/apt,6,3.0,43,56.65,2,15,177,57,0.55,False,private,1.0,0,0,0,0,0,high
2012-09-13,1.0,True,False,ΝΕΟΣ ΚΟΣΜΟΣ,37.96341,23.72875,Entire home/apt,5,3.0,44,92.7,5,90,220,223,2.54,True,private,2.0,0,0,0,0,0,high
2012-07-15,3.0,True,True,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.987904,23.74078,Entire home/apt,3,1.0,32,40.17,3,400,50,84,0.89,True,private,1.0,0,0,0,0,0,medium
2012-06-04,12.0,True,True,ΚΟΛΩΝΟΣ,38.0011,23.71626,Entire home/apt,4,2.0,26,32.96,3,1125,352,462,4.64,True,private,1.0,0,0,0,0,0,low
2012-06-03,2.0,True,False,ΘΗΣΕΙΟ,37.97385,23.715670000000003,Entire home/apt,4,2.0,31,51.5,5,36,165,126,1.25,True,private,1.0,0,0,0,0,0,medium
2012-09-20,2.0,True,True,ΑΚΡΟΠΟΛΗ,37.963440000000006,23.71838,Entire home/apt,8,5.0,57,53.56,3,1125,341,303,3.25,True,private,1.0,0,0,0,0,0,high
2012-10-03,14.0,True,False,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98985,23.73779,Entire home/apt,2,1.0,24,22.66,3,1125,11,463,4.4,True,private,1.0,0,0,0,0,0,low
2011-05-29,9.0,True,False,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99252,23.73112,Entire home/apt,8,8.0,17,46.35,2,1125,54,16,0.15,True,private,1.0,0,0,0,0,0,low
2012-06-03,2.0,True,False,ΠΕΤΡΑΛΩΝΑ,37.97313,23.715,Private room,1,1.0,9,25.75,19,60,4,4,0.07,False,shared,1.0,0,0,0,0,0,low
2012-10-04,1.0,True,True,ΝΙΡΒΑΝΑ,38.01501,23.72582,Entire home/apt,4,2.0,30,25.75,3,20,312,445,4.11,True,private,1.0,0,0,0,0,0,medium
2012-10-23,1.0,True,False,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.966965,23.727932,Entire home/apt,4,2.0,40,81.37,6,1125,297,87,1.02,False,private,1.0,0,0,0,0,0,high
2012-10-23,2.0,True,False,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,38.00398,23.7319,Entire home/apt,2,0.0,27,46.35,3,1125,338,175,1.91,False,private,1.0,0,0,0,0,0,medium
2012-10-28,3.0,False,False,ΚΕΡΑΜΕΙΚΟΣ,37.98168,23.72275,Entire home/apt,4,4.0,9,60.77,1,30,90,73,0.79,False,private,1.0,0,0,0,0,0,low
2011-05-04,12.0,True,False,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98518,23.72926,Entire home/apt,4,4.0,17,69.01,2,365,362,50,0.48,True,private,1.0,0,0,0,0,0,low
2012-11-12,1.0,True,False,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98857,23.73404,Entire home/apt,3,1.0,13,72.10000000000001,3,60,362,0,0.0,False,private,2.0,0,0,0,0,0,low
2012-11-13,5.0,True,False,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.9986,23.72828,Entire home/apt,7,7.0,12,30.900000000000002,1,365,365,1,0.02,False,private,1.5,0,0,0,0,0,low
2012-11-26,1.0,True,False,ΑΝΩ ΠΑΤΗΣΙΑ,38.02081,23.74098,Entire home/apt,2,1.0,18,30.900000000000002,3,90,145,5,0.17,False,private,1.0,0,0,0,0,0,low
2012-11-27,1.0,True,True,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96215,23.72179,Entire home/apt,4,2.0,22,76.22,3,90,213,77,1.15,False,private,1.0,0,0,0,0,0,low
