host_listings_count,host_identity_verified,host_is_superhost,neighbourhood_cleansed,room_type,accommodates,beds,amenities,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,reviews_per_month,instant_bookable,bathroom_type,bathroom,smoke_alarm,oven,patio_balcony,fire_extinguisher,shower_gel
24.0,True,True,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,Entire home/apt,2,1.0,low,59.74,4,720,329,2,0.03,True,private,1.0,0,0,1,0,0
1.0,False,False,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,Entire home/apt,4,3.0,low,59.74,2,1125,365,21,0.21,False,private,1.5,0,0,0,0,0
5.0,True,True,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,8,4.0,medium,50.47,2,1125,0,195,1.69,True,private,1.0,1,0,0,0,1
4.0,True,True,ΑΚΡΟΠΟΛΗ,Entire home/apt,3,1.0,low,66.95,2,365,340,446,3.93,True,private,1.0,1,0,0,0,0
1.0,False,False,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Entire home/apt,3,0.0,low,51.5,1,6,219,169,1.5,False,private,1.0,0,0,0,0,0
4.0,True,False,ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,5,2.0,medium,29.87,7,1125,312,332,3.17,False,private,1.0,0,1,1,0,0
1.0,False,False,ΙΛΙΣΙΑ,Entire home/apt,4,2.0,medium,82.4,2,4,364,31,0.48,False,private,1.0,0,1,1,1,0
1.0,False,False,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Entire home/apt,3,1.0,low,61.800000000000004,7,90,365,24,0.46,False,private,1.0,0,1,1,0,0
1.0,True,True,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Entire home/apt,5,2.0,high,56.65,7,120,27,67,0.75,True,private,1.0,0,1,0,0,0
15.0,True,False,ΘΗΣΕΙΟ,Entire home/apt,4,2.0,medium,142.14000000000001,2,1125,313,60,0.59,True,private,1.0,0,1,1,0,1
15.0,True,False,ΘΗΣΕΙΟ,Entire home/apt,4,2.0,medium,83.43,1000,1125,203,16,0.15,True,private,1.0,0,1,1,1,1
5.0,True,True,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,4,2.0,medium,51.5,1,1125,0,248,2.41,True,private,1.0,1,1,0,1,0
10.0,False,False,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,3,1.0,low,123.60000000000001,1,30,365,1,0.01,False,private,1.0,1,0,0,0,0
1.0,True,False,ΠΕΔΙΟ ΑΡΕΩΣ,Entire home/apt,4,2.0,high,23.69,5,120,253,52,0.47,False,private,1.0,1,1,1,1,0
3.0,True,True,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,5,3.0,medium,128.75,1,1125,296,255,2.91,True,private,1.0,0,1,1,0,0
1.0,False,False,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Entire home/apt,3,2.0,medium,51.5,7,90,252,11,0.26,False,private,1.0,0,1,1,1,0
67.0,True,True,ΚΕΡΑΜΕΙΚΟΣ,Entire home/apt,4,0.0,high,58.71,2,1125,315,8,0.09,False,private,1.0,1,0,1,1,0
67.0,True,True,ΚΕΡΑΜΕΙΚΟΣ,Entire home/apt,8,2.0,high,123.60000000000001,2,1125,334,8,0.1,False,private,2.5,1,1,1,1,0
3.0,True,True,ΑΚΡΟΠΟΛΗ,Entire home/apt,3,1.0,low,82.4,1,1125,360,17,0.42,False,private,1.0,0,0,0,0,0
7.0,True,False,ΣΤΑΔΙΟ,Entire home/apt,4,4.0,low,134.93,1,1125,0,9,0.09,True,private,1.0,0,0,0,0,0
4.0,False,True,ΑΚΡΟΠΟΛΗ,Entire home/apt,4,2.0,low,41.2,3,30,297,102,1.17,False,private,1.0,0,1,1,0,0
67.0,True,True,ΚΕΡΑΜΕΙΚΟΣ,Entire home/apt,4,1.0,high,58.71,2,1125,306,7,0.09,False,private,1.0,1,0,1,1,0
67.0,True,True,ΚΕΡΑΜΕΙΚΟΣ,Entire home/apt,4,2.0,high,57.68,2,1125,318,20,0.7,False,private,1.0,1,1,1,1,0
7.0,True,False,ΣΤΑΔΙΟ,Entire home/apt,5,4.0,low,124.63000000000001,1,1125,0,18,0.17,True,private,1.0,0,0,0,0,0
7.0,True,False,ΣΤΑΔΙΟ,Entire home/apt,4,3.0,low,64.89,1,1125,0,5,0.05,True,private,1.0,0,0,0,0,0
67.0,True,True,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Entire home/apt,2,1.0,high,63.86,3,1125,365,34,0.35,True,private,1.0,1,1,1,1,0
67.0,True,True,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,3,1.0,high,90.64,2,1125,207,32,0.41,False,private,1.0,1,1,0,1,0
7.0,True,False,ΣΤΑΔΙΟ,Entire home/apt,2,1.0,low,134.93,1,1125,0,98,1.29,True,private,1.0,0,0,0,0,0
7.0,True,False,ΣΤΑΔΙΟ,Entire home/apt,4,2.0,low,124.63000000000001,1,1125,0,4,0.05,True,private,1.0,0,0,0,0,0
7.0,True,False,ΣΤΑΔΙΟ,Entire home/apt,2,2.0,low,81.37,1,365,0,76,0.97,True,private,1.0,0,0,0,0,0
7.0,True,False,ΣΤΑΔΙΟ,Entire home/apt,4,2.0,low,175.1,1,1125,0,0,0.0,True,private,1.0,0,0,0,0,0
1.0,False,False,ΠΕΤΡΑΛΩΝΑ,Entire home/apt,5,0.0,low,61.800000000000004,3,90,358,14,0.18,True,private,1.5,0,0,0,1,0
1.0,True,True,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,3,2.0,high,39.14,2,1125,351,367,4.03,True,private,1.0,0,0,0,1,1
7.0,True,True,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,Entire home/apt,8,5.0,medium,189.52,3,30,90,10,0.13,True,private,2.0,1,0,0,1,0
4.0,True,False,ΠΡΟΜΠΟΝΑ,Entire home/apt,4,1.0,high,28.84,2,60,147,246,2.39,False,private,1.0,1,0,1,0,0
3.0,True,True,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,2,1.0,low,72.10000000000001,2,365,0,142,1.39,True,private,1.0,0,0,0,0,0
0.0,False,False,ΓΟΥΔΙ,Entire home/apt,4,1.0,low,32.96,3,1095,242,66,0.73,False,private,1.5,0,1,0,1,0
3.0,True,True,ΑΚΡΟΠΟΛΗ,Entire home/apt,4,3.0,medium,77.25,2,1125,355,186,2.43,True,private,1.0,1,1,0,0,0
1.0,True,True,ΓΚΑΖΙ,Entire home/apt,5,3.0,high,33.99,2,30,233,271,4.18,False,private,1.0,1,1,0,1,1
67.0,True,True,ΚΕΡΑΜΕΙΚΟΣ,Entire home/apt,8,2.0,high,123.60000000000001,2,1125,330,27,0.31,False,private,2.5,1,1,1,1,1
1.0,True,False,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,Entire home/apt,2,1.0,low,51.5,5,1125,239,38,0.58,False,private,1.5,0,1,1,0,0
3.0,True,False,ΣΤΑΔΙΟ,Private room,2,1.0,medium,25.75,2,10,268,109,1.38,False,shared,1.0,0,1,0,0,0
3.0,True,False,ΣΤΑΔΙΟ,Entire home/apt,6,3.0,high,56.65,2,15,177,57,0.55,False,private,1.0,0,1,0,0,1
1.0,True,False,ΝΕΟΣ ΚΟΣΜΟΣ,Entire home/apt,5,3.0,high,92.7,5,90,220,223,2.54,True,private,2.0,1,1,0,1,1
3.0,True,True,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,Entire home/apt,3,1.0,medium,40.17,3,400,50,84,0.89,True,private,1.0,0,1,1,0,0
12.0,True,True,ΚΟΛΩΝΟΣ,Entire home/apt,4,2.0,low,32.96,3,1125,352,462,4.64,True,private,1.0,1,0,0,1,0
2.0,True,False,ΘΗΣΕΙΟ,Entire home/apt,4,2.0,medium,51.5,5,36,165,126,1.25,True,private,1.0,1,1,1,0,0
2.0,True,True,ΑΚΡΟΠΟΛΗ,Entire home/apt,8,5.0,high,53.56,3,1125,341,303,3.25,True,private,1.0,1,1,0,1,1
14.0,True,False,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,Entire home/apt,2,1.0,low,22.66,3,1125,11,463,4.4,True,private,1.0,0,1,1,0,0
9.0,True,False,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Entire home/apt,8,8.0,low,46.35,2,1125,54,16,0.15,True,private,1.0,0,0,0,0,0
2.0,True,False,ΠΕΤΡΑΛΩΝΑ,Private room,1,1.0,low,25.75,19,60,4,4,0.07,False,shared,1.0,0,0,0,0,0
0.0,True,True,ΝΙΡΒΑΝΑ,Entire home/apt,4,2.0,medium,25.75,3,20,312,445,4.11,True,private,1.0,0,1,0,0,0
1.0,True,False,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,Entire home/apt,4,2.0,high,81.37,6,1125,297,87,1.02,False,private,1.0,0,1,0,0,1
2.0,True,False,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,Entire home/apt,2,0.0,medium,46.35,3,1125,338,175,1.91,False,private,1.0,0,1,0,0,0
3.0,False,False,ΚΕΡΑΜΕΙΚΟΣ,Entire home/apt,4,4.0,low,60.77,1,30,90,73,0.79,False,private,1.0,0,0,0,0,0
12.0,True,False,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,4,4.0,low,69.01,2,365,362,50,0.48,True,private,1.0,0,0,0,0,0
1.0,True,False,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,Entire home/apt,3,1.0,low,72.10000000000001,3,60,362,0,0.0,False,private,2.0,0,0,0,0,0
5.0,True,False,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Entire home/apt,7,7.0,low,30.900000000000002,1,365,365,1,0.02,False,private,1.5,0,0,0,0,0
